x,y,token
27.104343,29.342815,;--
-10.333321,40.852257,seek
24.984972,4.9803925,case
-12.486056,52.05273,knowledge
23.88496,-15.499782,hard
51.273415,-16.192167,immediately
-56.916397,-9.458186,offering
-47.67126,-12.26156,wood
20.866262,39.93347,seeing
-64.69116,30.258814,chapter
-32.29192,-27.61709,wind
32.571457,7.613168,point
34.236317,-49.476254,silence
27.360933,-28.971504,",--"
-30.704416,-23.058907,green
-57.442394,-9.324511,offer
-3.419546,42.338757,save
-21.216114,-15.925484,deep
-13.668272,7.726575,sing
43.090042,-34.42574,.'
30.004642,-14.325346,making
-71.3237,22.284046,month
-28.14276,3.3420002,sit
-41.297928,48.738197,39
43.136326,-34.455708,!'
-20.422913,22.276215,seed
19.887255,-31.369923,fish
-13.630749,-19.185349,sound
28.935133,3.5161016,bad
-22.23044,0.37090078,cry
-35.209183,-12.15677,fruit
-54.208996,8.725228,mount
12.374638,-32.286907,fast
-16.076818,-0.5239369,run
-56.25296,-3.1055632,tabernacle
11.47693,20.736519,letter
42.454742,37.774673,spirits
-29.959625,-17.995203,cut
22.800478,-7.010623,read
3.622117,43.482807,free
9.07911,14.366091,past
-11.210187,38.0497,enemies
40.631283,-20.33519,gentleman
-63.108227,27.166752,chief
-30.031176,-47.57521,top
30.956694,-20.11693,.)
-38.21205,-13.583795,wine
-14.375293,37.322403,judge
-5.55273,28.11727,thoughts
-73.09278,23.722445,third
-56.641563,7.07148,river
-19.897184,24.096918,become
-57.07209,24.669378,daughters
-12.764559,45.128716,shew
-41.80915,48.394104,41
-47.788338,24.651236,solomon
-43.32659,10.928832,fight
-50.033344,41.410618,husband
-29.300545,20.530796,destroy
-53.4151,10.857536,wilderness
-4.789442,4.9564996,fair
-33.615406,27.280163,delivered
1.7131627,-27.925486,low
-49.550007,35.04394,john
30.553862,-39.310772,ve
-47.547424,-11.159077,stone
32.168613,-6.62461,please
-16.509033,-8.499393,angel
-23.756176,38.930935,righteousness
45.37996,-32.083847,continued
